time;gFx;gFy;gFz;TgF
2,927;0,0214;0,0195;1,0183;1,019
2,959;0,0279;0,0062;0,9885;0,989
2,974;0,0229;0,007;1,0061;1,006
2,989;0,0292;0,0373;1,0247;1,026
3,021;0,0289;0,0613;1,0517;1,054
3,037;0,0187;0,093;1,0467;1,051
3,052;0,0272;0,1091;0,9865;0,993
3,071;0,0193;0,1144;0,8746;0,882
3,102;-0,0534;0,1429;0,7496;0,765
3,116;0,0649;0,1605;0,7693;0,789
3,131;0,1343;0,1592;0,8427;0,868
3,156;0,1095;0,1972;0,9066;0,934
3,179;0,0834;0,2082;0,9284;0,955
3,196;0,0458;0,1537;0,9;0,914
3,22;0,0236;0,063;0,8661;0,869
3,242;0,0579;0,027;0,8896;0,892
3,261;0,0757;0,0172;0,925;0,928
3,276;0,0807;-0,0106;0,9579;0,961
3,289;0,0588;-0,0267;0,9867;0,989
3,354;0,0646;-0,0366;1,0196;1,022
3,359;0,1032;-0,0589;1,0252;1,032
3,36;0,111;-0,0637;1,0269;1,035
3,37;0,0765;-0,0529;1,0203;1,025
3,402;0,0517;-0,0563;1,0109;1,014
3,423;0,0592;-0,0554;1,0107;1,014
3,436;0,062;-0,054;1,0002;1,004
3,5;0,0584;-0,0316;0,9808;0,983
3,504;0,0821;-0,0036;0,9738;0,977
3,505;0,0847;0,042;0,9687;0,973
3,51;0,0961;0,104;0,9833;0,993
3,545;0,1142;0,1528;0,9843;1,003
3,563;0,1042;0,1852;0,9618;0,985
3,578;0,0837;0,2077;0,9345;0,961
3,591;0,0627;0,211;0,9091;0,935
3,623;0,0521;0,228;0,8911;0,921
3,638;0,0559;0,2537;0,8843;0,922
3,654;0,0668;0,2842;0,8866;0,933
3,687;0,0665;0,3089;0,8851;0,94
3,704;0,0724;0,3134;0,8821;0,939
3,716;0,0861;0,3149;0,8822;0,941
3,75;0,0846;0,3057;0,8902;0,945
3,773;0,0725;0,3273;0,8906;0,952
3,78;0,0687;0,3595;0,8882;0,961
3,804;0,0783;0,3777;0,8851;0,966
3,831;0,0899;0,3749;0,8894;0,969
3,844;0,0937;0,3542;0,8976;0,969
3,86;0,0906;0,3305;0,9011;0,964
3,888;0,0804;0,2919;0,9059;0,955
3,909;0,0818;0,2486;0,9115;0,948
3,924;0,0814;0,2266;0,9199;0,951
3,939;0,09;0,224;0,9234;0,954
3,957;0,0989;0,2386;0,9282;0,963
3,991;0,099;0,2551;0,9287;0,968
4,005;0,0923;0,2468;0,9337;0,97
4,033;0,0865;0,2382;0,934;0,968
4,046;0,0707;0,2288;0,9361;0,966
4,065;0,0678;0,2154;0,9411;0,968
4,081;0,0923;0,211;0,9381;0,966
4,097;0,1225;0,2203;0,9351;0,968
4,151;0,1321;0,2394;0,928;0,967
4,156;0,1145;0,2521;0,9225;0,963
4,16;0,0932;0,2386;0,9225;0,957
4,176;0,0827;0,2102;0,9225;0,95
4,209;0,0764;0,1835;0,9225;0,944
4,225;0,0822;0,1686;0,9242;0,943
4,24;0,0919;0,1655;0,9332;0,952
4,258;0,1013;0,1755;0,9495;0,971
4,288;0,106;0,1958;0,9582;0,984
4,303;0,0955;0,2012;0,9607;0,986
4,319;0,0898;0,187;0,9616;0,984
4,352;0,0978;0,166;0,9615;0,981
4,369;0,1002;0,1667;0,959;0,979
4,382;0,0906;0,1814;0,9565;0,978
4,422;0,0876;0,2012;0,9523;0,977
4,432;0,0957;0,2071;0,9477;0,975
4,447;0,0932;0,2047;0,9373;0,964
4,462;0,0871;0,1945;0,9335;0,958
4,487;0,0859;0,1915;0,9304;0,954
4,51;0,0844;0,1915;0,9264;0,95
4,525;0,0899;0,1935;0,9264;0,951
4,543;0,1013;0,2;0,9264;0,953
4,591;0,1091;0,207;0,9245;0,954
4,595;0,101;0,2039;0,9251;0,953
4,604;0,0883;0,1989;0,9288;0,954
4,621;0,0893;0,1957;0,9337;0,958
4,655;0,0962;0,1915;0,9404;0,964
4,673;0,0988;0,1907;0,9421;0,966
4,693;0,0934;0,1881;0,9434;0,967
4,698;0,0918;0,1913;0,9384;0,962
4,731;0,0985;0,1979;0,9362;0,962
4,751;0,1035;0,1915;0,9352;0,96
4,762;0,1039;0,1865;0,9342;0,958
4,795;0,1012;0,1859;0,9325;0,956
4,815;0,0912;0,1921;0,9362;0,96
4,834;0,0813;0,1946;0,9362;0,96
4,841;0,0815;0,1954;0,9396;0,963
4,873;0,0962;0,1931;0,9398;0,964
4,889;0,0991;0,1903;0,9378;0,962
4,904;0,089;0,1902;0,9388;0,962
4,92;0,0784;0,1839;0,9363;0,957
4,954;0,0827;0,1885;0,9323;0,955
4,974;0,0949;0,1899;0,9323;0,956
4,999;0,1008;0,1834;0,9329;0,956
5,015;0,1032;0,1742;0,9342;0,956
5,031;0,097;0,183;0,9342;0,957
5,047;0,0945;0,1868;0,9354;0,959
5,062;0,092;0,1909;0,9413;0,965
5,103;0,0879;0,1929;0,9421;0,966
5,112;0,0902;0,1879;0,9413;0,964
5,126;0,0977;0,1843;0,9388;0,962
5,142;0,0959;0,1799;0,9363;0,958
5,175;0,0829;0,1863;0,939;0,961
5,19;0,0888;0,1954;0,944;0,968
5,207;0,0918;0,1894;0,9445;0,968
5,237;0,0859;0,1816;0,9421;0,963
5,253;0,0879;0,1747;0,9446;0,965
5,269;0,089;0,1765;0,9448;0,965
5,286;0,0944;0,1874;0,941;0,964
5,316;0,0952;0,1971;0,9399;0,965
5,331;0,0918;0,1915;0,935;0,959
5,347;0,0931;0,1804;0,9264;0,948
5,365;0,0974;0,176;0,9208;0,942
5,395;0,0987;0,1845;0,9199;0,943
5,411;0,0938;0,1885;0,9254;0,949
5,426;0,0903;0,1925;0,9294;0,953
5,458;0,0919;0,1951;0,9344;0,959
5,474;0,0957;0,185;0,9387;0,962
5,49;0,0912;0,1814;0,9401;0,962
5,507;0,0845;0,1764;0,9418;0,962
5,539;0,0857;0,1778;0,9442;0,965
5,553;0,0824;0,1778;0,9475;0,968
5,569;0,0839;0,1739;0,9486;0,968
5,586;0,0896;0,1665;0,9461;0,965
5,618;0,0953;0,1606;0,9413;0,96
5,634;0,1015;0,1639;0,939;0,959
5,656;0,0956;0,1676;0,943;0,963
5,68;0,084;0,178;0,9419;0,962
5,696;0,0865;0,1845;0,9368;0,959
5,712;0,0879;0,1773;0,9348;0,956
5,728;0,0879;0,169;0,9323;0,952
5,759;0,0935;0,1726;0,9312;0,952
5,784;0,0895;0,1786;0,9397;0,961
5,792;0,0807;0,1772;0,9395;0,959
5,808;0,0764;0,1741;0,9364;0,956
5,838;0,0761;0,1727;0,9381;0,957
5,854;0,0761;0,1671;0,94;0,958
5,871;0,0747;0,1705;0,9421;0,96
5,902;0,0726;0,174;0,946;0,965
5,918;0,089;0,1789;0,9474;0,968
5,958;0,1026;0,1806;0,946;0,969
5,967;0,1019;0,1733;0,9443;0,965
5,982;0,1039;0,1641;0,9417;0,961
5,997;0,1052;0,1656;0,9367;0,957
6,014;0,0951;0,1706;0,9355;0,956
6,027;0,0767;0,1701;0,9399;0,958
6,06;0,0722;0,1704;0,9381;0,956
6,076;0,0731;0,1729;0,94;0,959
6,094;0,0742;0,1739;0,9435;0,962
6,125;0,0762;0,1739;0,944;0,963
6,141;0,0806;0,1708;0,9429;0,962
6,158;0,0842;0,168;0,9445;0,963
6,174;0,0843;0,1713;0,9495;0,969
6,212;0,0825;0,1694;0,9479;0,966
6,221;0,0879;0,1619;0,9464;0,964
6,235;0,0879;0,1646;0,9415;0,96
6,251;0,0861;0,1716;0,9401;0,96
6,284;0,0832;0,17;0,9417;0,961
6,299;0,0791;0,1682;0,9392;0,957
6,315;0,0781;0,169;0,9396;0,958
6,351;0,0821;0,1739;0,94;0,96
6,379;0,0898;0,1778;0,9353;0,956
6,384;0,0855;0,1767;0,9349;0,955
6,394;0,0739;0,1775;0,929;0,949
6,424;0,0714;0,1772;0,9309;0,95
6,44;0,0856;0,1727;0,9369;0,957
6,455;0,0892;0,1764;0,9407;0,961
6,484;0,0771;0,1778;0,9439;0,964
6,506;0,073;0,1751;0,9472;0,966
6,522;0,0779;0,1719;0,9431;0,962
6,538;0,0815;0,1763;0,9406;0,96
6,567;0,08;0,1856;0,9401;0,962
6,584;0,077;0,1804;0,9353;0,956
6,601;0,0763;0,1676;0,9392;0,957
6,615;0,0797;0,169;0,9417;0,96
6,647;0,0781;0,1817;0,9402;0,961
6,663;0,0788;0,179;0,9421;0,962
6,679;0,08;0,1803;0,9408;0,961
6,699;0,0739;0,1786;0,9401;0,96
6,727;0,0706;0,1709;0,9417;0,96
6,765;0,0731;0,1661;0,9401;0,957
6,772;0,077;0,1675;0,9401;0,958
6,79;0,0859;0,1817;0,9401;0,961
6,804;0,0839;0,1835;0,9412;0,963
6,82;0,0818;0,1746;0,9429;0,962
6,836;0,08;0,1687;0,9373;0,956
6,877;0,0783;0,1684;0,9381;0,956
6,885;0,0815;0,1741;0,9389;0,958
6,911;0,0814;0,1765;0,9388;0,959
6,918;0,0748;0,1741;0,9399;0,959
6,948;0,0816;0,17;0,9385;0,957
6,965;0,0774;0,1718;0,9383;0,957
