time;gFx;gFy;gFz;TgF
73,184;-0,2817;0,1987;1,1113;1,164
73,216;-0,3836;0,1886;1,2601;1,331
73,232;-0,3064;0,1513;1,2087;1,256
73,251;-0,0079;0,3391;0,938;0,997
73,263;-0,0978;0,1269;1,1419;1,153
73,296;-0,0695;0,0837;1,1706;1,176
73,31;-0,0626;0,1079;1,1025;1,11
73,331;-0,0561;0,0663;1,1004;1,104
73,342;-0,0437;0,0358;1,1027;1,104
73,377;-0,004;0,0379;1,108;1,109
73,394;0,0241;0,0609;1,1114;1,113
73,407;0,0577;0,0658;1,0974;1,101
73,439;0,0895;0,0202;1,0748;1,079
73,455;0,0757;-0,041;1,0679;1,071
73,473;0,0714;-0,1;1,0551;1,062
73,494;0,0904;-0,1233;1,0327;1,044
73,516;0,1437;-0,1743;1,0096;1,035
73,532;0,1751;-0,2444;0,9605;1,006
73,549;0,1303;-0,2346;0,9115;0,95
73,564;0,0204;-0,2215;0,903;0,93
73,597;-0,0064;-0,2115;0,9071;0,931
73,611;0,0422;-0,2433;0,9244;0,957
73,626;0,091;-0,2296;0,9176;0,95
73,66;0,0632;-0,189;0,8854;0,908
73,676;0,0238;-0,1697;0,8926;0,909
73,69;0,0292;-0,16;0,9117;0,926
73,706;0,0441;-0,14;0,92;0,932
73,739;0,0338;-0,1383;0,9059;0,917
73,765;0,0081;-0,1234;0,915;0,923
73,771;0,0123;-0,0872;0,9002;0,904
73,788;-0,0136;-0,071;0,8949;0,898
73,816;-0,0588;-0,0602;0,887;0,891
73,832;-0,1053;-0,0653;0,9102;0,919
73,849;-0,0549;-0,0487;0,952;0,955
73,881;0,0221;0,0046;0,9471;0,947
73,897;0,0519;0,0087;0,9353;0,937
73,912;0,0997;-0,0807;1,0166;1,025
73,926;0,133;-0,1214;1,0548;1,07
73,958;0,2041;0,0278;1,0959;1,115
73,975;0,0176;0,0391;1,05;1,051
73,991;-0,3888;0,0094;0,988;1,062
74,01;-0,6367;0,0119;0,5406;0,835
74,045;-0,7129;0,1386;0,6048;0,945
74,054;-0,4617;0,0247;0,7204;0,856
74,071;-0,3171;0,0832;0,8706;0,93
74,089;-0,3678;0,0502;0,9217;0,994
74,118;-0,4286;0,0254;0,7524;0,866
74,135;-0,3954;0,0706;0,7599;0,859
74,155;-0,3016;0,1759;0,8158;0,887
74,181;-0,2301;0,2194;0,7644;0,828
74,196;-0,2435;0,1199;0,7868;0,832
74,212;-0,2762;0,0366;0,8683;0,912
74,231;-0,2938;-0,0582;0,9024;0,951
74,261;-0,2184;-0,0573;0,8708;0,9
74,275;-0,3461;0,012;0,9224;0,985
74,292;-0,2703;0,0019;0,8925;0,932
74,324;-0,1105;-0,0095;0,7748;0,783
74,339;-0,0639;0,0691;0,6769;0,683
74,355;0,0037;0,0668;0,6757;0,679
74,375;0,0877;-0,0262;0,7115;0,717
74,402;0,1235;-0,0852;0,7429;0,758
74,42;0,0617;-0,0323;0,568;0,572
74,433;0,0376;0,0695;0,4276;0,435
74,453;0,1559;0,072;0,4739;0,504
74,485;0,2676;0,0274;0,6217;0,677
74,497;0,3291;0,0474;0,6913;0,767
74,533;0,4239;0,0944;0,7169;0,838
74,544;0,4723;0,1075;0,715;0,864
74,561;0,449;0,0181;0,8068;0,923
74,577;0,4638;-0,0819;0,9126;1,027
74,593;0,5335;-0,2114;1,0363;1,185
74,624;0,4666;-0,2546;1,1775;1,292
74,643;0,3129;-0,117;1,1875;1,234
74,655;0,3849;-0,0463;1,1909;1,252
74,67;0,4449;-0,1109;1,2289;1,312
74,703;0,3483;-0,1118;1,2978;1,348
74,718;0,162;-0,0689;1,2835;1,296
74,733;-0,1078;-0,0291;1,2196;1,225
74,765;-0,3482;0,0337;1,1659;1,217
74,782;-0,5071;0,1235;1,2002;1,309
74,798;-0,5736;0,1325;1,1693;1,309
74,815;-0,616;0,13;1,1078;1,274
74,847;-0,6127;0,1695;1,0295;1,21
74,862;-0,4685;0,1653;1,0359;1,149
74,877;-0,3728;0,1693;1,0287;1,107
74,893;-0,3208;0,1664;1,0722;1,131
74,926;-0,2513;0,1163;1,118;1,152
74,94;-0,1798;0,1195;1,1614;1,181
74,956;-0,1239;0,1763;1,1682;1,188
74,99;-0,0939;0,2206;1,1126;1,138
75,003;-0,0886;0,2127;1,0767;1,101
75,022;-0,0572;0,2066;1,0525;1,074
75,038;-0,0248;0,2074;1,0235;1,045
75,068;-0,0088;0,1841;1,0229;1,039
75,086;-0,06;0,0994;1,0181;1,025
75,104;-0,0718;0,0248;1,0014;1,004
75,116;-0,0132;-0,0283;0,9702;0,971
75,147;0,034;0,0263;0,9787;0,98
75,172;0,042;0,1014;0,9647;0,971
75,178;0,0122;0,0643;0,9641;0,966
75,211;-0,0095;0,0099;0,9992;0,999
75,229;-0,0005;0,0318;1,0139;1,014
75,241;-0,0252;0,0949;1,0153;1,02
75,258;-0,0359;0,1189;1,0519;1,059
75,288;-0,0805;0,0506;1,0875;1,092
75,305;-0,0842;0,0455;1,052;1,056
75,327;-0,0613;0,1513;1,0489;1,062
75,338;-0,1084;0,2169;1,0979;1,124
75,374;-0,1959;0,1888;1,0642;1,098
75,385;-0,1935;0,1753;1,0065;1,04
75,401;-0,1617;0,198;0,9685;1,002
75,433;-0,1981;0,233;0,942;0,99
75,449;-0,2152;0,242;0,9311;0,986
75,462;-0,1931;0,2156;0,8905;0,936
75,479;-0,1533;0,2165;0,8773;0,917
75,511;-0,1587;0,2452;0,8781;0,925
75,526;-0,2103;0,265;0,9135;0,974
75,543;-0,2654;0,2441;0,9061;0,975
75,56;-0,2554;0,1957;0,8991;0,955
75,59;-0,2113;0,1514;0,8588;0,897
75,606;-0,1937;0,1359;0,8385;0,871
75,62;-0,1852;0,1354;0,835;0,866
75,656;-0,172;0,1335;0,8463;0,874
75,668;-0,1719;0,085;0,8481;0,87
75,69;-0,1794;0,0657;0,8487;0,87
75,702;-0,1785;0,127;0,8546;0,882
75,734;-0,1599;0,1633;0,8747;0,904
75,749;-0,1381;0,1035;0,9255;0,941
75,764;-0,1219;0,0247;0,9648;0,973
75,784;-0,0783;0,0171;0,9919;0,995
75,812;-0,0525;0,0385;1,0093;1,011
75,841;-0,0423;0,0672;1,0067;1,01
75,845;-0,0035;0,0687;0,9888;0,991
75,876;0,0534;0,0673;0,9736;0,977
75,892;0,0811;0,1047;0,9794;0,988
75,906;0,1037;0,1375;0,9719;0,987
75,923;0,1452;0,1499;1,0078;1,029
75,954;0,1268;0,113;1,0391;1,053
75,97;0,0434;0,068;1,0406;1,044
75,991;-0,0309;0,0778;1,018;1,021
76,005;-0,0819;0,0987;0,9756;0,984
76,034;-0,0923;0,0784;0,9466;0,954
76,056;-0,0801;0,0519;0,9301;0,935
76,075;-0,025;0,0206;0,9222;0,923
76,098;0,0289;0,1155;0,974;0,981
76,117;0,1078;0,1959;0,8612;0,89
76,129;0,0866;0,1264;0,949;0,961
76,144;-0,005;0,0977;0,9935;0,998
76,176;-0,0284;0,1449;0,9198;0,932
76,192;0,0253;0,1134;0,9346;0,942
76,21;0,039;0,0774;0,9453;0,949
76,225;0,0743;0,0964;0,9331;0,941
76,256;0,0978;0,1137;0,9137;0,926
76,273;0,1083;0,1191;0,8758;0,891
76,289;0,0979;0,1231;0,8455;0,86
76,32;0,0855;0,1343;0,8427;0,858
76,335;0,0649;0,1199;0,849;0,86
76,35;0,0131;0,1149;0,8383;0,846
76,365;-0,0499;0,105;0,8126;0,821
76,399;-0,0671;0,0515;0,8194;0,824
76,414;-0,049;0,0471;0,8252;0,828
76,432;-0,0162;0,1136;0,8313;0,839
76,447;0,0309;0,1347;0,8271;0,839
76,477;0,099;0,0627;0,8605;0,868
76,496;0,1474;0,0253;0,8747;0,887
76,508;0,1712;0,0562;0,8539;0,873
76,541;0,2098;0,1175;0,8441;0,878
76,555;0,227;0,1111;0,8506;0,887
76,571;0,1897;0,0515;0,9371;0,957
76,591;0,0433;0,0128;1,0588;1,06
76,621;-0,2253;0,0541;1,1323;1,156
76,634;-0,3949;0,127;1,033;1,113
76,65;-0,4196;0,0894;0,8953;0,993
76,669;-0,3848;-0,0527;0,879;0,961
76,697;-0,3246;-0,1223;0,9588;1,02
76,717;-0,2312;-0,0495;1,0421;1,069
76,73;-0,2143;-0,0257;1,1057;1,127
76,761;-0,2538;-0,0895;1,0945;1,127
76,783;-0,2204;-0,1419;1,0891;1,12
76,793;-0,1765;-0,0874;1,0486;1,067
76,812;-0,1971;-0,0093;0,9836;1,003
76,844;-0,2149;0,0196;0,9308;0,955
76,854;-0,2038;0,0128;0,9288;0,951
76,874;-0,17;0,0471;0,8995;0,917
76,891;-0,1289;0,0752;0,8579;0,871
76,924;-0,1755;0,0167;0,9238;0,941
76,934;-0,2823;-0,0947;0,9818;1,026
76,96;-0,3962;-0,1653;1,0439;1,129
76,992;-0,1759;-0,0741;0,9713;0,99
76,999;0,0033;-0,0344;0,8757;0,876
77,015;-0,0871;-0,1456;0,9636;0,978
77,029;-0,1059;-0,0919;0,9826;0,993
77,066;-0,0692;-0,0106;0,9695;0,972
77,079;0,078;0,2879;0,8639;0,914
77,095;0,1276;0,4217;0,9067;1,008
77,111;0,1105;0,1239;1,0943;1,107
77,141;0,3447;-0,0076;0,9879;1,046
77,156;0,2897;-0,0984;1,0229;1,068
77,175;0,2538;0,0005;1,1652;1,192
77,205;0,2823;-0,1109;0,976;1,022
77,222;0,2112;-0,223;1,0735;1,117
77,236;0,2129;-0,1956;1,1639;1,199
77,25;0,2392;-0,1461;1,0888;1,124
77,283;0,0931;-0,1563;0,9723;0,989
77,302;-0,041;-0,2269;0,9532;0,981
77,315;-0,0096;-0,2368;0,9569;0,986
77,332;-0,0439;-0,2538;0,8946;0,931
77,365;-0,0014;-0,2014;0,8897;0,912
77,384;0,0236;-0,2124;0,8349;0,862
77,394;0,0133;-0,2796;0,8415;0,887
77,428;-0,0494;-0,3646;0,838;0,915
77,441;0,0134;-0,2547;0,8918;0,928
77,461;0,0794;-0,188;0,9067;0,929
77,476;0,1173;-0,1682;0,8245;0,85
77,505;0,0885;-0,1818;0,8335;0,858
77,52;0,0319;-0,1489;0,8948;0,908
77,537;-0,0275;-0,0419;0,9539;0,955
77,553;-0,0018;-0,0415;0,969;0,97
77,584;0,0179;-0,0965;1,0106;1,015
77,601;0,0242;-0,0765;1,0572;1,06
77,614;0,0427;-0,0188;1,1094;1,11
77,648;0,003;0,023;1,1811;1,181
77,666;-0,0232;-0,0535;1,2004;1,202
77,681;-0,0045;-0,0847;1,2132;1,216
77,695;0,0694;-0,0229;1,152;1,154
77,726;-0,0981;-0,0087;1,0775;1,082
77,744;-0,0552;0,0859;1,0347;1,04
77,758;-0,0089;0,0727;1,0333;1,036
77,776;0,0338;0,0031;1,0434;1,044
77,807;0,0012;-0,1051;1,2274;1,232
77,825;0,0548;-0,1399;1,2675;1,276
77,838;0,1803;-0,1304;1,256;1,276
77,871;0,2404;-0,0264;1,2025;1,227
77,885;0,249;0,07;1,0954;1,126
77,908;0,2809;0,176;1,0033;1,057
77,917;0,3149;0,2552;0,9029;0,99
77,947;0,2544;0,3101;0,8307;0,922
77,965;0,2036;0,3416;0,7832;0,878
77,981;0,2454;0,3505;0,7398;0,855
77,994;0,2619;0,41;0,7159;0,866
78,027;0,2438;0,3787;0,703;0,835
78,044;0,2199;0,3635;0,7239;0,839
78,06;0,2545;0,365;0,7588;0,88
78,093;0,3428;0,3284;0,779;0,912
78,111;0,3858;0,3141;0,806;0,947
78,126;0,4883;0,2507;0,8044;0,974
78,141;0,5558;0,211;0,8069;1,002
78,172;0,5317;0,1676;0,8372;1,006
78,187;0,5221;0,204;0,909;1,068
78,201;0,6396;0,1791;0,9309;1,144
78,218;0,726;0,1421;0,9174;1,178
78,247;0,6379;0,115;0,9019;1,111
78,264;0,5294;0,1656;0,9223;1,076
78,28;0,6148;0,3104;0,9297;1,157
78,312;0,5751;0,3161;0,9359;1,143
78,33;0,4109;0,218;0,8809;0,996
78,347;0,2754;0,0691;0,8887;0,933
78,359;0,1549;-0,0384;0,8498;0,865
78,394;0,1908;0,0797;0,8268;0,852
78,413;0,2806;0,1446;0,8318;0,89
78,423;0,2353;0,1838;0,8018;0,856
78,44;0,1519;0,1841;0,7492;0,786
78,471;0,7594;0,579;1,2007;1,534
78,486;1,0124;0,6327;1,3868;1,83
78,5;0,5779;0,275;1,163;1,327
78,534;0,0814;-0,0834;1,3771;1,382
78,567;-0,1126;0,1522;0,8626;0,883
78,568;0,035;0,3538;0,6625;0,752
78,579;0,1332;0,3601;0,5479;0,669
78,612;0,1263;0,2371;0,5306;0,595
78,629;0,0696;0,0438;0,7763;0,781
78,644;0,0622;0,1028;0,8127;0,822
78,66;0,0192;0,1307;0,8189;0,83
78,694;-0,0089;0,1664;0,7596;0,778
78,707;0,0185;0,2042;0,9166;0,939
78,724;0,3265;0,5241;1,2641;1,407
78,755;0,1616;0,6422;1,1897;1,362
78,776;-0,1101;0,5039;1,078;1,195
78,797;-0,2529;0,375;1,0247;1,12
78,807;-0,2623;0,3792;1,0725;1,167
78,837;-0,3542;0,3355;1,1862;1,283
78,849;-0,383;0,3161;1,1695;1,271
78,866;-0,3111;0,3565;1,0547;1,156
78,884;-0,1571;0,4144;1,0463;1,136
78,914;0,0018;0,4463;0,9752;1,072
78,931;0,194;0,277;0,7871;0,857
78,945;0,2283;0,3615;0,5714;0,714
78,975;0,0005;0,5414;0,7358;0,914
78,996;-0,1156;0,6127;0,8137;1,025
79,009;-0,0722;0,5041;0,7936;0,943
79,024;-0,0688;0,4704;0,6598;0,813
79,057;-0,107;0,4387;0,6272;0,773
79,07;-0,0908;0,3532;0,6763;0,768
79,088;-0,1224;0,2859;0,7628;0,824
79,102;-0,2037;0,171;0,7927;0,836
79,136;-0,2549;0,0889;0,7877;0,833
79,153;-0,2084;0,1093;0,8228;0,856
79,166;-0,0544;0,145;0,9546;0,967
79,199;0,0476;0,0649;1,1808;1,184
79,214;0,0489;0,1662;1,1355;1,149
79,23;-0,0144;0,3188;0,9801;1,031
79,249;-0,0488;0,3383;1,0204;1,076
79,276;-0,044;0,3182;1,2338;1,275
79,294;-0,0874;0,357;1,3647;1,413
79,31;-0,2216;0,4292;1,303;1,39
79,324;-0,4021;0,5126;1,1717;1,341
79,355;-0,4247;0,5696;1,2681;1,454
79,372;-0,433;0,5014;1,3378;1,493
79,391;-0,5031;0,3604;1,2996;1,439
79,42;-0,5912;0,2361;1,2946;1,443
79,438;-0,4936;0,1667;1,3253;1,424
79,453;-0,3386;0,0796;1,3265;1,371
79,473;-0,2467;0,0406;1,1365;1,164
79,498;-0,1637;0,0563;0,9779;0,993
79,514;-0,1159;0,06;0,9941;1,003
79,53;-0,1305;-0,0449;1,0234;1,033
79,546;-0,1311;-0,1631;1,0144;1,036
79,58;-0,1339;-0,1829;0,9874;1,013
79,593;-0,1447;-0,0268;0,9849;0,996
79,609;-0,16;0,0387;1,0219;1,035
79,642;-0,1923;-0,0259;0,9747;0,994
79,656;-0,2049;-0,094;0,8473;0,877
79,674;-0,1864;-0,0827;0,8364;0,861
79,689;-0,1463;0,0047;0,8474;0,86
79,72;-0,1016;0,028;0,7918;0,799
79,741;-0,0691;0,0488;0,7269;0,732
79,755;-0,0227;0,0231;0,7089;0,71
79,768;-0,0602;-0,0516;0,7356;0,74
79,8;-0,1708;-0,0322;0,7708;0,79
79,814;-0,2663;0,0223;0,8312;0,873
79,83;-0,329;0,0132;0,9009;0,959
79,863;-0,3267;-0,0278;0,9373;0,993
79,881;-0,2891;-0,0261;0,9148;0,96
79,894;-0,304;0,0197;0,9062;0,956
79,911;-0,3424;0,072;0,8778;0,945
79,941;-0,3554;0,0955;0,9111;0,983
79,958;-0,2814;0,093;0,9361;0,982
79,972;-0,2232;0,0984;0,8665;0,9
79,989;-0,1203;0,0664;0,8073;0,819
80,021;-0,0707;-0,0015;0,8165;0,82
80,039;-0,1285;-0,0478;0,8686;0,879
80,053;-0,2034;-0,0711;0,9156;0,941
80,086;-0,1271;-0,0759;0,9281;0,94
80,106;-0,0944;-0,0791;0,9463;0,954
80,121;-0,1775;0,1091;1,0817;1,102
80,134;-0,0741;0,2507;1,0874;1,118
80,164;0,1861;-0,0447;0,9925;1,011
80,179;0,3403;-0,0927;0,8514;0,922
80,195;0,2324;-0,0421;0,9412;0,97
80,213;0,2143;-0,0238;0,9428;0,967
80,246;0,2722;-0,1357;0,9471;0,995
80,258;0,2715;-0,1898;1,0692;1,119
80,275;0,2949;-0,1824;1,1138;1,167
80,31;0,3604;-0,2644;1,0818;1,171
80,321;0,2898;-0,3453;1,0568;1,149
80,337;0,1363;-0,4149;1,0588;1,145
80,355;0,1287;-0,4429;0,9945;1,096
80,385;0,133;-0,4183;0,9208;1,02
80,403;0,118;-0,4346;0,9126;1,018
80,417;0,0761;-0,5231;0,9344;1,074
80,433;-0,0386;-0,445;0,873;0,981
80,466;0,1021;-0,4283;0,8536;0,96
80,493;0,078;-0,3359;0,8326;0,901
80,496;0,1546;-0,2945;0,8838;0,944
80,528;0,2682;-0,295;0,9927;1,07
80,544;0,3365;-0,2846;1,1051;1,19
80,608;0,3419;-0,2426;1,1001;1,177
80,61;0,3286;-0,1795;1,0263;1,092
80,611;0,3229;-0,1432;1,0001;1,061
80,622;0,3598;-0,1438;0,9818;1,056
80,639;0,3713;-0,1296;1,0002;1,075
80,654;0,3972;-0,1196;1,0602;1,138
80,688;0,4693;-0,1167;1,0731;1,177
80,705;0,5389;-0,1085;1,0412;1,177
80,72;0,5128;-0,0902;1,0103;1,137
80,749;0,41;-0,0555;1,0095;1,091
80,77;0,3974;-0,0023;0,9677;1,046
80,781;0,3746;0,0513;0,927;1,001
80,801;0,3329;0,0897;0,8953;0,959
80,828;0,3297;0,1206;0,8727;0,941
80,844;0,34;0,1348;0,8651;0,939
80,86;0,3478;0,1563;0,8704;0,95
80,877;0,3738;0,1825;0,8847;0,978
80,91;0,381;0,2031;0,8947;0,993
80,925;0,3104;0,2188;0,9185;0,994
80,939;0,274;0,2282;0,9269;0,993
80,973;0,2655;0,2441;0,9627;1,028
80,987;0,2585;0,3228;1,005;1,087
81,004;0,2711;0,3947;1,0264;1,133
81,022;0,287;0,4332;1,0326;1,156
81,051;0,2901;0,498;1,0424;1,191
81,069;0,3024;0,5353;1,0507;1,217
81,081;0,3211;0,5713;1,0645;1,25
81,097;0,3208;0,5804;1,0967;1,282
81,13;0,3122;0,5606;1,0694;1,247
81,149;0,2549;0,5403;1,0311;1,192
81,162;0,1613;0,528;0,9858;1,13
81,194;0,088;0,5053;0,9336;1,065
81,209;0,0181;0,4646;0,9074;1,02
81,226;-0,0219;0,4039;0,8828;0,971
81,241;-0,0576;0,3499;0,867;0,937
81,274;-0,1212;0,3145;0,8592;0,923
81,291;-0,1319;0,2691;0,8778;0,928
81,304;-0,1193;0,2195;0,9023;0,936
81,319;-0,0768;0,1979;0,8995;0,924
81,354;-0,0797;0,2142;0,8837;0,913
81,372;-0,1251;0,2141;0,8709;0,906
81,386;-0,0982;0,1738;0,8727;0,895
81,415;-0,0865;0,1296;0,8863;0,9
81,43;0,0792;0,0827;1,0365;1,043
81,455;0,3022;0,0687;1,3033;1,34
81,465;0,254;0,1085;1,2965;1,326
81,494;-0,0864;0,0855;1,1002;1,107
81,509;-0,2139;0,0629;0,978;1,003
81,527;-0,1843;0,0901;0,9609;0,983
81,539;-0,1555;0,124;1,0721;1,09
81,573;-0,2144;0,1983;0,8846;0,932
81,588;-0,4342;0,3863;0,7083;0,916
81,609;-0,4885;0,4262;0,5966;0,881
81,636;-0,3946;0,434;0,7014;0,914
81,652;-0,2907;0,3596;0,8281;0,948
81,672;-0,2036;0,3419;0,8211;0,912
81,682;-0,0299;0,4313;0,8666;0,968
81,716;-0,0602;0,3767;0,8718;0,952
81,738;-0,1279;0,315;0,8313;0,898
81,746;-0,1369;0,362;0,7851;0,875
81,762;-0,1959;0,4876;0,7606;0,925
81,794;-0,2661;0,5185;0,8009;0,99
81,817;-0,2579;0,4662;0,857;1,009
81,828;-0,2996;0,426;0,8814;1,024
81,858;-0,3356;0,3339;0,8482;0,971
81,873;-0,3877;0,337;0,8534;0,996
81,892;-0,3971;0,3548;0,8765;1,026
81,905;-0,3946;0,3266;0,8864;1,024
81,937;-0,3956;0,2936;0,8781;1,007
81,954;-0,4268;0,3009;0,8662;1,011
81,971;-0,4666;0,3146;0,873;1,039
81,984;-0,5082;0,313;0,8886;1,07
82,017;-0,5367;0,2989;0,8815;1,074
82,033;-0,5637;0,2789;0,8786;1,081
82,046;-0,5698;0,2554;0,8682;1,069
82,078;-0,5583;0,2521;0,8799;1,072
82,097;-0,5419;0,2499;0,8973;1,078
82,111;-0,5599;0,2269;0,9002;1,084
82,129;-0,5227;0,197;0,8869;1,048
82,162;-0,4429;0,1761;0,9019;1,02
82,174;-0,351;0,1618;0,9171;0,995
82,189;-0,348;0,1426;0,8919;0,968
82,206;-0,3889;0,1091;0,8926;0,98
82,24;-0,4022;0,0957;0,9141;1,003
82,254;-0,3759;0,0929;0,9302;1,008
82,269;-0,3326;0,0943;0,9165;0,98
82,3;-0,3005;0,0992;0,8758;0,931
82,319;-0,2794;0,0842;0,8887;0,935
82,331;-0,2518;0,0812;0,91;0,948
82,349;-0,2352;0,082;0,9282;0,961
82,379;-0,2127;0,1057;0,9005;0,931
82,397;-0,209;0,1087;0,8845;0,915
82,417;-0,2696;0,1003;0,9036;0,948
82,433;-0,3395;0,1126;0,933;0,999
82,458;-0,3492;0,1245;0,9192;0,991
82,477;-0,3094;0,102;0,9135;0,97
82,495;-0,2755;0,0775;0,9295;0,973
82,521;-0,2445;0,0598;0,9468;0,98
82,537;-0,2548;0,0241;0,9769;1,01
82,554;-0,2777;-0,0318;0,9997;1,038
82,569;-0,2868;-0,0707;1,0303;1,072
82,6;-0,2804;-0,0627;1,043;1,082
82,617;-0,2571;-0,0244;1,0172;1,049
82,632;-0,2039;0,0068;0,9945;1,015
82,648;-0,1842;0,0136;0,9688;0,986
82,681;-0,2006;-0,02;0,9543;0,975
82,706;-0,2069;-0,0743;0,9711;0,996
82,71;-0,2289;-0,1382;0,9748;1,011
82,744;-0,2059;-0,1797;0,9335;0,973
82,762;-0,1481;-0,1663;0,91;0,937
82,776;-0,1087;-0,1508;0,9296;0,948
82,791;-0,0722;-0,1608;0,9735;0,989
82,825;-0,0524;-0,2158;0,9597;0,985
82,839;-0,0405;-0,2055;0,8609;0,886
82,855;-0,0144;-0,1662;0,8053;0,822
82,873;-0,0208;-0,1786;0,8214;0,841
82,901;-0,0328;-0,2147;0,8473;0,875
82,917;-0,0046;-0,2427;0,9016;0,934
82,935;-0,0141;-0,294;0,8871;0,935
82,965;-0,068;-0,2467;0,9468;0,981
82,983;-0,1448;-0,1755;0,9304;0,958
82,996;-0,0007;-0,1461;0,9974;1,008
83,013;0,1215;-0,2001;1,0117;1,038
83,044;-0,0325;-0,0821;1,0544;1,058
83,067;-0,3796;0,0444;1,0611;1,128
83,092;-0,3132;0,1098;1,0096;1,063
83,097;0,0445;0,2174;0,9453;0,971
83,124;0,0666;0,2865;0,8205;0,872
83,145;0,0814;0,3298;0,9016;0,964
83,165;0,0236;0,1469;0,9902;1,001
83,187;-0,1244;-0,1565;1,0916;1,11
83,203;-0,0683;-0,1453;1,0208;1,033
83,217;0,0183;-0,0797;0,929;0,933
83,236;0,0705;0,0493;0,9379;0,942
83,269;0,1155;0,2218;0,9467;0,979
83,28;0,0696;0,3233;0,9488;1,005
83,3;0,054;0,3759;0,9479;1,021
83,313;0,0465;0,3721;0,9187;0,992
83,345;-0,009;0,2926;0,9161;0,962
83,365;0,0206;0,2268;0,9378;0,965
83,378;0,1035;0,2193;0,9627;0,993
83,408;0,1129;0,2209;0,9269;0,96
83,424;0,1062;0,2157;0,8764;0,909
83,443;0,1217;0,1668;0,8916;0,915
83,456;0,1184;0,108;0,9066;0,921
83,49;0,125;0,0813;0,9093;0,921
83,502;0,1064;0,0598;0,8903;0,899
83,519;0,1334;0,0417;0,9062;0,917
83,535;0,135;-0,0035;0,9107;0,921
83,567;0,1139;-0,039;0,9345;0,942
83,583;0,093;-0,0575;0,9565;0,963
83,598;0,0765;-0,0715;0,9783;0,984
83,631;0,0678;-0,1098;0,9806;0,989
83,644;0,0489;-0,1218;0,9024;0,912
83,663;0,0482;-0,149;0,9158;0,929
83,679;0,0491;-0,183;0,9332;0,952
83,71;0,0563;-0,1689;0,9593;0,976
83,729;0,0691;-0,1495;0,9851;0,999
83,74;0,0716;-0,1058;0,9799;0,988
83,755;0,0796;-0,0644;0,9699;0,975
83,789;0,0647;-0,071;0,9561;0,961
83,811;0,043;-0,0849;0,9305;0,935
83,824;0,0261;-0,1092;0,9052;0,912
83,854;-0,0007;-0,1375;0,8778;0,889
83,868;0,0489;-0,1578;0,8958;0,911
83,885;0,1044;-0,16;0,9211;0,941
83,899;0,1036;-0,1028;0,9053;0,917
83,932;0,1232;-0,0242;0,8893;0,898
83,948;0,1348;0,045;0,8587;0,87
83,961;0,1315;0,1152;0,8625;0,88
83,977;0,1461;0,1158;0,9785;0,996
84,01;0,1226;0,0843;0,8858;0,898
84,027;0,1208;0,0752;0,9195;0,93
84,042;0,062;-0,048;0,9968;1
84,073;0,0315;-0,1556;1,0588;1,071
84,094;0,053;-0,1988;1,0209;1,041
84,107;0,0811;-0,1919;0,9745;0,996
84,125;0,0713;-0,2009;0,9926;1,015
84,152;0,0118;-0,2116;1,0511;1,072
84,172;0,0003;-0,2089;1,0337;1,055
84,184;0,0207;-0,2203;0,9981;1,022
84,198;0,0715;-0,2454;1,0093;1,041
84,234;0,0845;-0,206;0,9886;1,013
84,245;0,1184;-0,1211;0,9541;0,969
84,263;0,1874;-0,0678;0,9613;0,982
84,295;0,2067;-0,0213;1,0193;1,04
84,315;0,1811;0,0594;1,0658;1,083
84,33;0,1518;0,0823;1,1097;1,123
84,342;0,2257;0,0798;1,1296;1,155
84,373;0,311;0,0949;1,1702;1,215
84,393;0,2485;0,1615;1,1834;1,22
84,404;0,2168;0,2111;1,1538;1,193
84,42;0,2317;0,2817;1,1528;1,209
84,455;0,2437;0,3048;1,1343;1,2
84,473;0,2184;0,2944;1,1278;1,186
84,485;0,1672;0,242;1,1036;1,142
84,516;0,1054;0,1826;1,0822;1,103
84,531;0,0336;0,1385;1,0556;1,065
84,547;-0,029;0,0955;1,0418;1,047
84,566;-0,0828;0,104;1,0226;1,031
84,594;-0,1391;0,1143;0,9802;0,997
84,61;-0,1378;0,1578;0,9409;0,964
84,627;-0,1108;0,136;0,9493;0,965
84,641;-0,0944;0,0745;0,9763;0,984
84,677;-0,1001;0,03;0,9691;0,975
84,692;-0,125;-0,0162;0,9414;0,95
84,704;-0,1543;-0,061;0,9299;0,945
84,737;-0,1635;-0,0526;0,931;0,947
84,754;-0,1301;-0,11;0,8952;0,911
84,771;-0,1068;-0,1033;0,9142;0,926
84,79;-0,1125;-0,0775;0,9267;0,937
84,817;-0,161;-0,0759;0,9311;0,948
84,837;-0,2251;0,0089;0,923;0,95
84,853;-0,2108;0,0877;0,8749;0,904
84,864;-0,1476;0,0737;0,8546;0,87
84,897;-0,1323;-0,038;0,8459;0,857
84,911;-0,1283;-0,1098;0,8348;0,852
84,931;-0,1163;-0,1279;0,8263;0,844
84,964;-0,0844;-0,0191;0,8293;0,834
84,975;0,0294;-0,0053;0,9291;0,93
84,989;0,2164;0,0186;1,191;1,211
85,007;0,0366;0,0817;1,0127;1,017
85,036;0,0365;0,0409;1,0171;1,019
85,053;0,0566;0,1371;0,9496;0,961
85,071;0,0325;0,1473;0,8906;0,903
85,085;0,0691;0,0357;0,9073;0,911
85,119;0,1219;-0,0642;0,9137;0,924
